Price (TL),Room,Size (m²),Building Age,City,District,Neighborhood,Room_Numeric
20000,3+1,135,25.0,Ankara,Yenimahalle,Ergenekon Mah.,4
20000,3+1,145,13.25,Ankara,Sincan,29 Ekim Mah.,4
60000,2+1,129,3.0,Ankara,Çankaya,Beytepe Mah.,3
27000,2+1,95,38.0,Ankara,Çankaya,Cebeci Mah.,3
22500,3+1,130,25.0,Ankara,Sincan,Yunus Emre Mah.,4
15000,2+1,130,2.0,Ankara,Şereflikoçhisar,Sanayi Mah.,3
19000,2+1,90,30.0,Ankara,Çankaya,Çamlıtepe Mah.,3
50000,4+1,208,2.0,Ankara,Çankaya,Alacaatlı Mah.,5
18000,3+1,115,15.0,Ankara,Mamak,Kutlu Mah.,4
15000,3+1,130,4.0,Ankara,Mamak,Fahri Korutürk Mah.,4
35000,4+1,159,2.0,Ankara,Yenimahalle,Pamuklar Mah.,5
45000,2+1,134,10.0,Ankara,Çankaya,İlkbahar Mah.,3
15000,3+1,135,26.0,Ankara,Yenimahalle,Ergenekon Mah.,4
27000,1+1,65,6.0,Ankara,Çankaya,Alacaatlı Mah.,2
23000,3+1,138,6.0,Ankara,Yenimahalle,Ata Mah.,4
17000,1+1,60,2.375,Ankara,Gölbaşı,İncek Mah.,2
16000,3+1,125,25.0,Ankara,Sincan,Fatih Mah.,4
44000,1+1,55,15.466666666666667,Ankara,Çankaya,Çukurambar Mah.,2
31000,3+1,180,17.0,Ankara,Etimesgut,Piyade Mah.,4
24990,3+1,160,9.0,Ankara,Mamak,Kartaltepe Mah.,4
24000,3+1,135,28.0,Ankara,Çankaya,Aşağı Öveçler Mah.,4
25000,3+1,175,22.0,Ankara,Etimesgut,Topçu Mah.,4
26500,1+1,48,7.0,Ankara,Gölbaşı,Kızılcaşar Mah.,2
14500,3+1,110,10.0,Ankara,Sincan,29 Ekim Mah.,4
28000,3+1,110,15.25,Ankara,Çankaya,Aşıkpaşa Mah.,4
21000,2+1,90,30.0,Ankara,Çankaya,Sokullu Mehmet Paşa Mah.,3
18000,3+0,135,10.0,Ankara,Mamak,Araplar Mah.,3
22000,3+1,125,25.0,Ankara,Keçiören,Tepebaşı Mah.,4
23500,1+1,72,20.0,Ankara,Etimesgut,Tunahan Mah.,2
24000,3+1,105,30.0,Ankara,Keçiören,Kavacık Subayevleri Mah.,4
37500,3+1,170,4.0,Ankara,Gölbaşı,İncek Mah.,4
33000,4+1,185,15.727272727272727,Ankara,Etimesgut,Göksu Mah.,5
27500,1+1,65,2.0,Ankara,Gölbaşı,Kızılcaşar Mah.,2
15500,3+1,120,28.0,Ankara,Sincan,Atatürk Mah.,4
12000,2+1,75,30.0,Ankara,Mamak,General Zeki Doğan Mah.,3
30000,3+1,145,5.0,Ankara,Mamak,Ege Mah.,4
45000,4+1,165,23.714285714285715,Ankara,Çankaya,Keklik Pınarı Mah.,5
20000,2+1,85,25.0,Ankara,Yenimahalle,Tepealtı Mah.,3
22000,3+1,140,35.0,Ankara,Altındağ,Aydınlıkevler Mah.,4
15500,3+1,118,20.0,Ankara,Keçiören,Şehit Kubilay Mah.,4
14500,2+1,100,25.0,Ankara,Altındağ,Gültepe Mah.,3
29000,3+1,145,35.0,Ankara,Çankaya,Güvenevler Mah.,4
13500,3+1,128,25.0,Ankara,Sincan,Mustafa Kemal Mah.,4
17000,3+1,140,18.0,Ankara,Keçiören,Çaldıran Mah.,4
13000,2+1,100,10.0,Ankara,Keçiören,Osmangazi Mah.,3
41000,3+1,135,30.0,Ankara,Çankaya,Çayyolu Mah.,4
18000,3+1,120,25.0,Ankara,Keçiören,Basınevleri Mah.,4
18500,3+1,125,17.0,Ankara,Etimesgut,Alsancak Mah.,4
13000,2+1,70,52.0,Ankara,Altındağ,Örnek Mah.,3
16000,3+1,125,20.0,Ankara,Keçiören,Kamil Ocak Mah.,4
35000,4+1,170,16.0,Ankara,Çankaya,Yaşamkent Mah.,5
20000,3+1,125,6.6,Ankara,Sincan,Menderes Mah.,4
39000,4+1,200,3.0,Ankara,Keçiören,Ovacık Mah.,5
21000,3+1,135,26.0,Ankara,Yenimahalle,Esentepe Mah.,4
27000,3+1,155,17.0,Ankara,Çankaya,Akpınar Mah.,4
17000,3+1,120,9.0,Ankara,Sincan,Menderes Mah.,4
10000,1+1,45,4.0,Ankara,Çubuk,Dumlupınar Mah.,2
30500,4+1,125,40.0,Ankara,Çankaya,Anıttepe Mah.,5
30000,3+1,150,4.0,Ankara,Altındağ,Hacettepe Mah.,4
21000,2+1,100,11.916666666666666,Ankara,Etimesgut,Yapracık Mah.,3
25000,1+1,50,40.0,Ankara,Çankaya,Fakülteler Mah.,2
16000,3+1,115,30.0,Ankara,Keçiören,Şenlik Mah.,4
26000,3+1,150,5.0,Ankara,Altındağ,Karapürçek Mah.,4
18000,3+1,130,50.0,Ankara,Mamak,Abidinpaşa Mah.,4
33000,3+1,129,30.0,Ankara,Çankaya,Konutkent Mah.,4
21000,3+1,120,23.0,Ankara,Altındağ,Aydınlıkevler Mah.,4
25000,3+1,140,10.0,Ankara,Etimesgut,Elvan Mah.,4
14500,2+1,114,15.0,Ankara,Keçiören,Karakaya Mah.,3
25000,3+1,130,13.0,Ankara,Keçiören,Atapark Mah.,4
17000,3+1,120,25.0,Ankara,Yenimahalle,Karşıyaka Mah.,4
16500,2+1,100,30.0,Ankara,Keçiören,Aşağı Eğlence Mah.,3
17500,2+1,85,10.0,Ankara,Çankaya,Seyranbağları Mah.,3
21500,2+1,110,15.933333333333334,Ankara,Etimesgut,Topçu Mah.,3
34000,2+1,137,12.0,Ankara,Çankaya,Büyükesat Mah.,3
16000,3+1,115,30.0,Ankara,Mamak,Aşık Veysel Mah.,4
35000,2+1,95,31.772727272727273,Ankara,Çankaya,Emek Mah.,3
26000,3+1,130,20.0,Ankara,Yenimahalle,Demetevler Mah.,4
30000,2+1,75,32.0,Ankara,Yenimahalle,Gazi Mah.,3
25000,3+1,120,30.0,Ankara,Çankaya,Bayraktar Mah.,4
37950,3+1,142,26.0,Ankara,Çankaya,Kazım Özalp Mah.,4
28500,4+1,180,20.0,Ankara,Çankaya,Kırkkonaklar Mah.,5
17000,3+1,110,45.0,Ankara,Mamak,Balkiraz Mah.,4
27000,2+1,110,35.0,Ankara,Çankaya,Bahçelievler Mah.,3
22750,3+1,105,30.0,Ankara,Yenimahalle,Demetevler Mah.,4
25000,1+1,55,6.0,Ankara,Çankaya,Alacaatlı Mah.,2
35000,2+1,100,3.0,Ankara,Çankaya,Alacaatlı Mah.,3
21000,3+1,140,8.0,Ankara,Keçiören,Yükseltepe Mah.,4
21000,3+1,120,30.0,Ankara,Altındağ,Yıldıztepe Mah.,4
32000,3+1,135,30.0,Ankara,Çankaya,Naci Çakır Mah.,4
15000,1+1,52,2.375,Ankara,Gölbaşı,İncek Mah.,2
35000,3+1,120,45.0,Ankara,Çankaya,Ayrancı Mah.,4
22000,2+1,90,17.0,Ankara,Yenimahalle,Varlık Mah.,3
35000,1+1,50,6.0,Ankara,Çankaya,Aziziye Mah.,2
18500,3+1,130,15.0,Ankara,Polatlı,Şehitlik Mah.,4
17000,2+1,110,1.0,Ankara,Sincan,Menderes Mah.,3
38000,2+1,75,31.772727272727273,Ankara,Çankaya,Emek Mah.,3
17500,3+1,120,15.0,Ankara,Mamak,General Zeki Doğan Mah.,4
32500,3+1,160,1.0,Ankara,Mamak,Durali Alıç Mah.,4
18500,3+1,120,22.0,Ankara,Çankaya,Metin Akkuş Mah.,4
39000,2+1,135,22.0,Ankara,Çankaya,Çukurambar Mah.,3
14000,1+1,60,17.79381443298969,Ankara,Sincan,Yeniçimşit Mah.,2
26000,1+1,70,5.0,Ankara,Çankaya,Büyükesat Mah.,2
23500,3+1,140,18.0,Ankara,Etimesgut,Ahi Mesut Mah.,4
25000,3+1,135,25.0,Ankara,Çankaya,Ehlibeyt Mah.,4
45000,2+1,65,28.733333333333334,Ankara,Çankaya,Maltepe Mah.,3
25000,3+1,100,30.0,Ankara,Çankaya,Oğuzlar Mah.,4
25000,1+1,80,13.0,Ankara,Gölbaşı,Kızılcaşar Mah.,2
41000,2+1,65,1.0,Ankara,Çankaya,Maltepe Mah.,3
44000,3+1,130,10.0,Ankara,Çankaya,İlkbahar Mah.,4
10500,3+1,115,25.0,Ankara,Polatlı,Zafer Mah.,4
16000,3+1,120,30.0,Ankara,Keçiören,Ayvalı Mah.,4
34000,2+1,110,30.0,Ankara,Çankaya,Söğütözü Mah.,3
15500,3+1,140,20.0,Ankara,Çubuk,Atatürk Mah.,4
21000,3+1,130,13.0,Ankara,Mamak,Altınevler Mah.,4
23500,3+1,135,12.0,Ankara,Keçiören,Atapark Mah.,4
33000,4+1,150,40.0,Ankara,Çankaya,Emek Mah.,5
25000,2+1,100,38.0,Ankara,Çankaya,İşçi Blokları Mah.,3
15000,3+1,120,22.0,Ankara,Sincan,Akşemsettin Mah.,4
25000,3+1,120,30.0,Ankara,Yenimahalle,İnönü Mah.,4
30000,3+1,130,34.0,Ankara,Çankaya,Kavaklıdere Mah.,4
36000,4+1,170,18.0,Ankara,Çankaya,Ata Mah.,5
13000,2+1,85,12.0,Ankara,Mamak,Hürel Mah.,3
25000,3+1,140,12.0,Ankara,Keçiören,Sancaktepe Mah.,4
19500,1+1,48,2.375,Ankara,Gölbaşı,İncek Mah.,2
25000,3+1,165,18.318181818181817,Ankara,Mamak,General Zeki Doğan Mah.,4
17500,3+1,115,15.0,Ankara,Mamak,General Zeki Doğan Mah.,4
40000,5+1,250,20.0,Ankara,Keçiören,Ayvalı Mah.,6
22000,3+1,165,16.0,Ankara,Yenimahalle,Ergenekon Mah.,4
59000,4+1,180,6.0,Ankara,Çankaya,Alacaatlı Mah.,5
20000,3+1,135,34.0,Ankara,Yenimahalle,Demetlale Mah.,4
13500,3+1,110,35.0,Ankara,Mamak,Balkiraz Mah.,4
17000,3+1,110,25.0,Ankara,Etimesgut,Kazım Karabekir Mah.,4
28000,1+1,50,7.0,Ankara,Çankaya,Anıttepe Mah.,2
30000,3+1,135,50.0,Ankara,Çankaya,Kazım Özalp Mah.,4
25000,1+1,48,28.794871794871796,Ankara,Keçiören,Aşağı Eğlence Mah.,2
35000,3+1,130,35.0,Ankara,Çankaya,Emek Mah.,4
29000,3+1,155,19.0,Ankara,Çankaya,Cevizlidere Mah.,4
27000,3+1,135,22.0,Ankara,Çankaya,Aşağı Öveçler Mah.,4
29500,5+1,280,10.0,Ankara,Keçiören,Uyanış Mah.,6
21000,1+1,75,5.0,Ankara,Çankaya,Mürsel Uluç Mah.,2
25000,3+1,118,12.0,Ankara,Mamak,Demirlibahçe Mah.,4
28500,3+1,120,30.0,Ankara,Çankaya,Kavaklıdere Mah.,4
9000,1+1,55,12.0,Ankara,Sincan,Gazi Mah.,2
18500,3+1,105,38.0,Ankara,Keçiören,Aşağı Eğlence Mah.,4
27000,3+1,130,20.0,Ankara,Keçiören,İncirli Mah.,4
45000,5+1,300,15.0,Ankara,Çankaya,Büyükesat Mah.,6
43000,2+1,105,29.583333333333332,Ankara,Çankaya,Bahçelievler Mah.,3
30000,1+1,40,32.791666666666664,Ankara,Çankaya,Yukarı Bahçelievler Mah.,2
17000,3+1,120,20.0,Ankara,Keçiören,Kamil Ocak Mah.,4
35000,3+1,130,35.0,Ankara,Çankaya,Mebusevleri Mah.,4
22500,1+1,55,12.0,Ankara,Gölbaşı,Karşıyaka Mah.,2
35000,2+1,100,40.0,Ankara,Çankaya,Kavaklıdere Mah.,3
16000,2+1,80,1.0,Ankara,Çubuk,Esenboğa Merkez Mah.,3
35500,3+1,130,20.0,Ankara,Çankaya,Maltepe Mah.,4
35000,4+1,180,21.0,Ankara,Yenimahalle,Yunus Emre Mah.,5
23000,2+1,75,40.0,Ankara,Çankaya,Maltepe Mah.,3
19000,2+1,95,35.0,Ankara,Çankaya,Seyranbağları Mah.,3
25000,3+1,145,45.0,Ankara,Çankaya,Bahçelievler Mah.,4
20000,3+1,122,25.0,Ankara,Keçiören,Aşağı Eğlence Mah.,4
17500,3+1,100,24.0,Ankara,Keçiören,Kavacık Subayevleri Mah.,4
19000,3+1,135,13.0,Ankara,Etimesgut,Turkuaz Mah.,4
22500,2+1,90,30.0,Ankara,Etimesgut,İstasyon Mah.,3
17500,2+1,120,15.0,Ankara,Keçiören,Etlik Mah.,3
24000,2+1,115,15.0,Ankara,Çankaya,Kırkkonaklar Mah.,3
20500,3+1,100,15.0,Ankara,Altındağ,Güneşevler Mah.,4
17000,2+1,110,12.0,Ankara,Yenimahalle,Anadolu Mah.,3
25000,3+1,125,10.0,Ankara,Keçiören,Esertepe Mah.,4
25000,3+1,125,10.0,Ankara,Keçiören,Esertepe Mah.,4
18500,3+1,130,10.0,Ankara,Sincan,29 Ekim Mah.,4
16250,2+1,90,17.0,Ankara,Keçiören,Ayvalı Mah.,3
15750,1+1,60,26.0,Ankara,Etimesgut,Şeyh Şamil Mah.,2
15000,1+1,65,14.0,Ankara,Sincan,Fevzi Çakmak Mah.,2
28000,3+1,120,28.0,Ankara,Çankaya,Naci Çakır Mah.,4
16000,3+1,105,30.0,Ankara,Yenimahalle,Ergenekon Mah.,4
30000,4+1,170,25.0,Ankara,Çankaya,Karapınar Mah.,5
37500,4+1,250,20.0,Ankara,Çankaya,Sancak Mah.,5
23000,1+1,50,5.0,Ankara,Çankaya,Şehit Cevdet Özdemir Mah.,2
18000,3+1,115,30.0,Ankara,Keçiören,Etlik Mah.,4
53000,4+1,172,6.0,Ankara,Gölbaşı,Taşpınar Mah.,5
16500,3+1,115,8.0,Ankara,Sincan,Fevzi Çakmak Mah.,4
11000,2+1,100,10.0,Ankara,Altındağ,Karapürçek Mah.,3
41000,4+1,210,13.0,Ankara,Yenimahalle,Aşağı Yahyalar Mah.,5
15000,2+1,100,45.0,Ankara,Altındağ,Aydınlıkevler Mah.,3
13500,2+1,105,10.0,Ankara,Keçiören,Osmangazi Mah.,3
19500,3+1,130,25.0,Ankara,Keçiören,Basınevleri Mah.,4
40000,4+1,195,3.0,Ankara,Keçiören,Ovacık Mah.,5
36500,3+1,140,18.0,Ankara,Çankaya,Şehit Cengiz Karaca Mah.,4
17500,3+1,147,20.0,Ankara,Keçiören,Karakaya Mah.,4
22000,3+1,120,28.0,Ankara,Çankaya,Harbiye Mah.,4
17000,3+1,125,15.0,Ankara,Etimesgut,Süvari Mah.,4
15000,3+1,135,5.0,Ankara,Sincan,Alcı Mah.,4
45000,3+1,125,16.0,Ankara,Çankaya,Koru Mah.,4
13500,3+1,115,30.0,Ankara,Keçiören,Bağlarbaşı Mah.,4
30000,2+1,60,55.0,Ankara,Çankaya,Emek Mah.,3
19000,3+1,125,5.0,Ankara,Mamak,Kutlu Mah.,4
15000,2+1,85,45.0,Ankara,Altındağ,Örnek Mah.,3
16000,2+1,115,4.0,Ankara,Mamak,Durali Alıç Mah.,3
23500,2+1,110,30.0,Ankara,Çankaya,Harbiye Mah.,3
21000,3+1,140,7.0,Ankara,Mamak,Ortaköy Mah.,4
25000,3+1,120,7.0,Ankara,Çankaya,Aşıkpaşa Mah.,4
20000,3+1,127,22.0,Ankara,Keçiören,Kavacık Subayevleri Mah.,4
20000,3+1,145,13.25,Ankara,Sincan,29 Ekim Mah.,4
27500,3+1,110,30.0,Ankara,Yenimahalle,Yunus Emre Mah.,4
22000,3+1,135,7.0,Ankara,Mamak,Akşemsettin Mah.,4
20500,3+1,115,30.0,Ankara,Çankaya,Harbiye Mah.,4
24500,3+1,120,35.0,Ankara,Yenimahalle,Demetevler Mah.,4
30000,3+1,130,18.0,Ankara,Çankaya,Çiğdem Mah.,4
20000,3+1,110,35.0,Ankara,Çankaya,Ön Cebeci Mah.,4
40000,4+1,200,7.0,Ankara,Yenimahalle,Turgut Özal Mah.,5
19500,2+1,100,25.0,Ankara,Çankaya,Büyükesat Mah.,3
24500,3+1,110,30.0,Ankara,Mamak,Abidinpaşa Mah.,4
18000,1+1,55,8.0,Ankara,Etimesgut,Şehit Osman Avcı Mah.,2
27000,2+1,65,2.888888888888889,Ankara,Gölbaşı,Taşpınar Mah.,3
25000,3+1,130,15.0,Ankara,Yenimahalle,Batı Sitesi Mah.,4
35500,3+1,131,20.0,Ankara,Çankaya,Sancak Mah.,4
37950,3+1,142,27.0,Ankara,Çankaya,Kazım Özalp Mah.,4
20000,3+0,115,30.0,Ankara,Yenimahalle,Yeni Batı Mah.,3
33000,3+1,118,25.0,Ankara,Çankaya,Mebusevleri Mah.,4
42500,4+1,175,18.0,Ankara,Çankaya,Keklik Pınarı Mah.,5
25500,3+1,135,30.0,Ankara,Çankaya,Gaziosmanpaşa Mah.,4
18000,3+1,135,20.0,Ankara,Keçiören,Etlik Mah.,4
15000,3+1,120,8.0,Ankara,Keçiören,Şehit Kubilay Mah.,4
15000,3+1,118,12.0,Ankara,Etimesgut,Yapracık Mah.,4
18500,3+1,110,9.0,Ankara,Mamak,Durali Alıç Mah.,4
25000,2+1,75,1.0,Ankara,Gölbaşı,Kızılcaşar Mah.,3
23000,3+1,110,45.0,Ankara,Çankaya,Tınaztepe Mah.,4
60000,3+1,185,15.0,Ankara,Çankaya,Yıldızevler Mah.,4
32500,3+1,135,49.0,Ankara,Çankaya,Ümit Mah.,4
18000,3+1,125,16.0,Ankara,Keçiören,Yayla Mah.,4
19000,3+1,135,35.0,Ankara,Yenimahalle,Demetevler Mah.,4
26000,2+1,95,15.0,Ankara,Etimesgut,Devlet Mah.,3
35000,4+1,160,20.0,Ankara,Çankaya,Birlik Mah.,5
14000,3+1,115,16.0,Ankara,Sincan,29 Ekim Mah.,4
40000,4+1,200,10.333333333333334,Ankara,Yenimahalle,Ata Mah.,5
25000,1+1,55,7.0,Ankara,Çankaya,Ahlatlıbel Mah.,2
27000,4+1,150,15.0,Ankara,Keçiören,Etlik Mah.,5
21500,4+1,170,17.093406593406595,Ankara,Mamak,Şahap Gürler Mah.,5
9000,2+1,100,30.0,Ankara,Keçiören,19 Mayıs Mah.,3
85000,4+1,232,5.0,Ankara,Çankaya,İlkbahar Mah.,5
40000,4+1,220,15.0,Ankara,Çankaya,Akpınar Mah.,5
60000,1+1,75,2.0,Ankara,Çankaya,Çukurambar Mah.,2
19000,3+1,140,35.0,Ankara,Keçiören,Emrah Mah.,4
13500,1+1,45,1.8333333333333333,Ankara,Çubuk,Esenboğa Merkez Mah.,2
19000,2+1,100,30.0,Ankara,Mamak,General Zeki Doğan Mah.,3
35000,4+1,185,15.0,Ankara,Çankaya,Birlik Mah.,5
