Price (TL),Room,Size (m²),Building Age,IL,ILCE,Neighborhood
13000,2+1,90,15.0,Ankara,Etimesgut,Piyade Mah.
19000,3+1,115,30.0,Ankara,Çankaya,Harbiye Mah.
40000,4+1,160,50.0,Ankara,Çankaya,Emek Mah.
25000,1+1,55,7.0,Ankara,Etimesgut,Piyade Mah.
24500,1+1,65,8.0,Ankara,Etimesgut,Altay Mah.
31000,3+1,125,30.0,Ankara,Çankaya,Büyükesat Mah.
28000,3+1,150,6.0,Ankara,Yenimahalle,Pamuklar Mah.
26000,1+1,60,3.0,Ankara,Etimesgut,Devlet Mah.
28000,1+1,55,1.0,Ankara,Yenimahalle,İnönü Mah.
30000,3+1,155,10.0,Ankara,Yenimahalle,Kayalar Mah.
21000,3+1,148,15.0,Ankara,Etimesgut,Alsancak Mah.
23000,3+1,115,29.0,Ankara,Keçiören,Aşağı Eğlence Mah.
24000,3+1,120,26.0,Ankara,Yenimahalle,Demetgül Mah.
63000,3+1,204,1.0,Ankara,Çankaya,Beytepe Mah.
15000,1+1,95,,Ankara,Polatlı,Gülveren Mah.
32000,3+1,150,8.0,Ankara,Altındağ,Aydınlıkevler Mah.
28000,3+1,135,,Ankara,Keçiören,Şehit Kubilay Mah.
24500,3+1,100,45.0,Ankara,Çankaya,Barbaros Mah.
18500,3+1,110,45.0,Ankara,Çankaya,Tınaztepe Mah.
24000,1+1,60,12.0,Ankara,Etimesgut,Tunahan Mah.
16000,2+1,95,30.0,Ankara,Çankaya,Umut Mah.
17000,3+1,135,3.0,Ankara,Mamak,Dutluk Mah.
17000,3+1,105,22.0,Ankara,Mamak,Gülveren Mah.
30000,2+1,110,,Ankara,Gölbaşı,Taşpınar Mah.
28000,4+1,170,7.0,Ankara,Yenimahalle,Avcılar Mah.
28000,4+1,170,5.0,Ankara,Keçiören,Sancaktepe Mah.
34000,4+1,200,7.0,Ankara,Keçiören,Etlik Mah.
18500,3+1,125,15.0,Ankara,Mamak,Akşemsettin Mah.
22500,2+1,105,,Ankara,Etimesgut,Atayurt Mah.
35000,3+1,164,10.0,Ankara,Yenimahalle,Kayalar Mah.
16500,3+1,115,8.0,Ankara,Mamak,Fahri Korutürk Mah.
19500,3+1,130,30.0,Ankara,Keçiören,Tepebaşı Mah.
12450,2+1,95,26.0,Ankara,Mamak,Abidinpaşa Mah.
43000,3+1,135,16.0,Ankara,Çankaya,Çiğdem Mah.
21000,3+1,150,16.0,Ankara,Etimesgut,Elvan Mah.
25000,4+1,168,1.0,Ankara,Yenimahalle,Kuzey Yıldızı Mah.
11000,3+1,109,35.0,Ankara,Keçiören,Kavacık Subayevleri Mah.
25000,1+1,58,5.0,Ankara,Yenimahalle,Ergazi Mah.
24000,1+1,50,1.0,Ankara,Yenimahalle,Yeni Batı Mah.
25000,3+1,150,18.0,Ankara,Çankaya,Kırkkonaklar Mah.
16500,3+1,115,12.0,Ankara,Keçiören,Esertepe Mah.
18000,3+1,110,35.0,Ankara,Çankaya,Ertuğrulgazi Mah.
43000,3+1,140,5.0,Ankara,Etimesgut,Eryaman Mah.
37500,2+1,132,,Ankara,Gölbaşı,Kızılcaşar Mah.
25000,4+1,130,12.0,Ankara,Keçiören,19 Mayıs Mah.
14000,3+1,115,16.0,Ankara,Keçiören,Etlik Mah.
22500,3+1,100,1.0,Ankara,Gölbaşı,İncek Mah.
15500,3+1,110,15.0,Ankara,Altındağ,Battalgazi Mah.
30000,3+1,150,20.0,Ankara,Çankaya,Harbiye Mah.
25000,3+1,140,15.0,Ankara,Çankaya,Şehit Cengiz Karaca Mah.
10000,3+1,155,2.0,Ankara,Sincan,Alcı Mah.
60000,1+1,75,,Ankara,Çankaya,Çukurambar Mah.
23750,2+1,75,15.0,Ankara,Etimesgut,Göksu Mah.
51500,4+1,185,5.0,Ankara,Çankaya,Ata Mah.
32000,3+1,140,35.0,Ankara,Çankaya,Çankaya Mah.
10000,1+1,20,15.0,Ankara,Sincan,Pınarbaşı Mah.
33000,2+1,120,25.0,Ankara,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mah.
21000,2+1,120,40.0,Ankara,Çankaya,Esatoğlu Mah.
10000,2+1,80,15.0,Ankara,Mamak,Zirvekent Mah.
27000,3+1,145,27.0,Ankara,Çankaya,Harbiye Mah.
23000,3+1,130,25.0,Ankara,Yenimahalle,Batı Sitesi Mah.
17000,3+1,115,25.0,Ankara,Mamak,Bahçelerüstü Mah.
18250,3+1,125,8.0,Ankara,Etimesgut,30 Ağustos Mah.
52000,4+1,165,20.0,Ankara,Çankaya,Emek Mah.
18500,3+1,110,15.0,Ankara,Etimesgut,Topçu Mah.
30000,2+1,96,60.0,Ankara,Çankaya,Yücetepe Mah.
27500,3+1,125,45.0,Ankara,Çankaya,Ayrancı Mah.
17000,3+1,110,8.0,Ankara,Mamak,Durali Alıç Mah.
29500,2+1,170,12.0,Ankara,Etimesgut,Alsancak Mah.
15000,3+1,115,10.0,Ankara,Keçiören,Aktepe Mah.
25000,1+1,70,1.0,Ankara,Çankaya,Tınaztepe Mah.
46000,3+1,150,40.0,Ankara,Çankaya,Yukarı Bahçelievler Mah.
40000,4+1,160,45.0,Ankara,Çankaya,Emek Mah.
60000,4+1,210,5.0,Ankara,Çankaya,Birlik Mah.
16000,3+1,125,16.0,Ankara,Pursaklar,Fatih Mah.
30000,1+1,70,1.0,Ankara,Çankaya,Büyükesat Mah.
16000,3+1,115,40.0,Ankara,Sincan,Ulubatlı Hasan Mah.
17500,3+1,130,15.0,Ankara,Mamak,Diriliş Mah.
30000,1+1,86,,Ankara,Yenimahalle,Emniyet Mah.
20000,2+1,90,40.0,Ankara,Çankaya,Kültür Mah.
8500,3+1,125,20.0,Ankara,Polatlı,Cumhuriyet Mah.
25000,3+1,130,23.0,Ankara,Çankaya,Mürsel Uluç Mah.
14000,3+1,120,30.0,Ankara,Keçiören,Şenlik Mah.
30000,1+1,70,5.0,Ankara,Çankaya,İlkbahar Mah.
30000,1+1,70,5.0,Ankara,Çankaya,İlkbahar Mah.
35000,1+1,70,5.0,Ankara,Çankaya,Aşağı Öveçler Mah.
17000,2+1,85,15.0,Ankara,Etimesgut,Kazım Karabekir Mah.
39000,4+1,160,28.0,Ankara,Çankaya,Çankaya Mah.
32000,3+1,115,1.0,Ankara,Altındağ,Aydınlıkevler Mah.
16000,3+1,135,25.0,Ankara,Yenimahalle,Demetgül Mah.
20000,1+1,95,15.0,Ankara,Çankaya,Aşıkpaşa Mah.
25000,3+1,135,28.0,Ankara,Çankaya,Çiğdem Mah.
17000,3+1,105,30.0,Ankara,Etimesgut,30 Ağustos Mah.
21000,1+1,75,6.0,Ankara,Çankaya,Mürsel Uluç Mah.
29500,3+1,135,17.0,Ankara,Çankaya,Dodurga Mah.
14000,2+1,95,30.0,Ankara,Mamak,General Zeki Doğan Mah.
20000,2+1,95,30.0,Ankara,Çankaya,Murat Mah.
15500,2+1,95,11.0,Ankara,Etimesgut,Yapracık Mah.
20000,3+1,122,25.0,Ankara,Çankaya,Yukarı Öveçler Mah.
38000,2+1,100,45.0,Ankara,Çankaya,Barbaros Mah.
20000,1+1,40,30.0,Ankara,Çankaya,Birlik Mah.
35000,3+1,140,25.0,Ankara,Çankaya,Ümit Mah.
40000,3+1,120,30.0,Ankara,Çankaya,Güvenevler Mah.
20000,3+1,137,14.0,Ankara,Etimesgut,Yukarıyurtçu Mah.
34000,2+1,82,4.0,Ankara,Etimesgut,Altay Mah.
17000,3+1,110,8.0,Ankara,Altındağ,Doğantepe Mah.
12500,2+1,90,6.0,Ankara,Keçiören,Yükseltepe Mah.
18000,3+1,130,30.0,Ankara,Keçiören,Şenlik Mah.
15000,3+1,115,25.0,Ankara,Keçiören,Aşağı Eğlence Mah.
55000,3+1,110,,Ankara,Çankaya,Kazım Özalp Mah.
19000,2+1,95,15.0,Ankara,Çankaya,Aşıkpaşa Mah.
38000,5+1,320,14.0,Ankara,Çankaya,Şehit Cengiz Karaca Mah.
42500,3+1,115,3.0,Ankara,Etimesgut,Yeşilova Mah.
24000,1+1,55,50.0,Ankara,Çankaya,Meşrutiyet Mah.
25000,3+1,115,22.0,Ankara,Yenimahalle,Mehmet Akif Ersoy Mah.
22250,3+1,120,9.0,Ankara,Mamak,Peyami Safa Mah.
21500,3+1,120,18.0,Ankara,Çankaya,Akpınar Mah.
43000,5+1,210,,Ankara,Keçiören,Ovacık Mah.
28500,2+1,85,12.0,Ankara,Etimesgut,Altay Mah.
21000,3+1,145,16.0,Ankara,Keçiören,Esertepe Mah.
22000,3+1,125,17.0,Ankara,Çankaya,Keklik Pınarı Mah.
20000,2+1,75,45.0,Ankara,Çankaya,Yücetepe Mah.
14000,3+1,117,15.0,Ankara,Etimesgut,Yapracık Mah.
40000,1+1,55,1.0,Ankara,Yenimahalle,İnönü Mah.
20500,2+1,100,20.0,Ankara,Gölbaşı,Bahçelievler Mah.
15000,2+1,95,16.0,Ankara,Sincan,Akşemsettin Mah.
