Title,Price (TL),Date,Location,Room,Size (m²),Building Age,Floor,Link,Page,Price per m² (TL)
"55 Square Meters Apartment For Rent in Çankaya, Ankara",29000,20-03-2025,Ankara / Çankaya / Emek Mah.,1+1,55,,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-emek-kiralik/daire/114144-2313,3,527.2727272727273
"49 Square Meters Apartment For Rent in Gölbaşı, Ankara",19000,05-03-2025,Ankara / Gölbaşı / İncek Mah.,1+1,49,1.0,Middle,https://www.hepsiemlak.com/en/ankara-golbasi-incek-kiralik/daire/129424-2987,3,387.7551020408163
"150 Square Meters Apartment For Rent in Çankaya, Ankara",30000,20-03-2025,Ankara / Çankaya / Oğuzlar Mah.,3+1,150,22.0,1.,https://www.hepsiemlak.com/en/ankara-cankaya-oguzlar-kiralik/daire/2646-1156,3,200.0
"70 Square Meters Apartment For Rent in Gölbaşı, Ankara",22000,21-03-2025,Ankara / Gölbaşı / İncek Mah.,2+1,70,1.0,Ground,https://www.hepsiemlak.com/en/ankara-golbasi-incek-kiralik/daire/129424-3044,3,314.2857142857143
"52 Square Meters Apartment For Rent in Gölbaşı, Ankara",20000,20-03-2025,Ankara / Gölbaşı / İncek Mah.,1+1,52,,Raised Ground,https://www.hepsiemlak.com/en/ankara-golbasi-incek-kiralik/daire/33764-54,3,384.61538461538464
"115 Square Meters Apartment For Rent in Çankaya, Ankara",25000,01-03-2025,Ankara / Çankaya / Cebeci Mah.,3+1,115,40.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-cebeci-kiralik/daire/56266-7,3,217.3913043478261
"105 Square Meters Apartment For Rent in Etimesgut, Ankara",22000,01-03-2025,Ankara / Etimesgut / Göksu Mah.,2+1,105,21.0,11.,https://www.hepsiemlak.com/en/ankara-etimesgut-goksu-kiralik/daire/14936-2207,3,209.52380952380952
"50 Square Meters Apartment For Rent in Çankaya, Ankara",12500,20-03-2025,Ankara / Çankaya / 100. Yıl Mah.,Stüdyo,50,40.0,Underground 1,https://www.hepsiemlak.com/en/ankara-cankaya-100-yil-kiralik/daire/99750-601,3,250.0
"135 Square Meters Apartment For Rent in Çankaya, Ankara",27500,15-03-2025,Ankara / Çankaya / Aşağı Öveçler Mah.,3+1,135,26.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-asagi-ovecler-kiralik/daire/6974-4226,3,203.7037037037037
"85 Square Meters Apartment For Rent in Çankaya, Ankara",25000,19-03-2025,Ankara / Çankaya / Gökkuşağı Mah.,2+1,85,18.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-gokkusagi-kiralik/daire/6171-6811,3,294.11764705882354
"65 Square Meters Apartment For Rent in Çankaya, Ankara",21000,19-03-2025,Ankara / Çankaya / Çamlıtepe Mah.,1+1,65,1.0,Raised Ground,https://www.hepsiemlak.com/en/ankara-cankaya-camlitepe-kiralik/daire/60186-4151,3,323.0769230769231
"120 Square Meters Apartment For Rent in Çankaya, Ankara",25500,19-03-2025,Ankara / Çankaya / Oğuzlar Mah.,3+1,120,28.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-oguzlar-kiralik/daire/66820-4494,3,212.5
"100 Square Meters Apartment For Rent in Mamak, Ankara",15000,31-12-2024,Ankara / Mamak / Fahri Korutürk Mah.,3+1,100,15.0,Ground,https://www.hepsiemlak.com/en/ankara-mamak-fahri-koruturk-kiralik/daire/135135-180,3,150.0
"130 Square Meters Apartment For Rent in Gölbaşı, Ankara",42000,19-03-2025,Ankara / Gölbaşı / Hacılar Mah.,2+1,130,10.0,Middle,https://www.hepsiemlak.com/en/ankara-golbasi-hacilar-kiralik/daire/20589-40,3,323.0769230769231
"115 Square Meters Apartment For Rent in Çankaya, Ankara",17000,06-01-2025,Ankara / Çankaya / Ata Mah.,3+1,115,25.0,2.,https://www.hepsiemlak.com/en/ankara-cankaya-ata-kiralik/daire/14777-5442,3,147.82608695652175
"130 Square Meters Apartment For Rent in Çankaya, Ankara",25000,14-03-2025,Ankara / Çankaya / Ata Mah.,3+1,130,20.0,3.,https://www.hepsiemlak.com/en/ankara-cankaya-ata-kiralik/daire/14777-5496,3,192.30769230769232
"70 Square Meters Apartment For Rent in Çankaya, Ankara",21000,19-03-2025,Ankara / Çankaya / Büyükesat Mah.,1+1,70,,Underground 2,https://www.hepsiemlak.com/en/ankara-cankaya-buyukesat-kiralik/daire/1248-2469,3,300.0
"160 Square Meters Apartment For Rent in Yenimahalle, Ankara",53000,18-03-2025,Ankara / Yenimahalle / Mehmet Akif Ersoy Mah.,3+1,160,7.0,11.,https://www.hepsiemlak.com/en/ankara-yenimahalle-mehmet-akif-ersoy-kiralik/daire/113821-1135,3,331.25
"140 Square Meters Apartment For Rent in Çankaya, Ankara",30000,21-03-2025,Ankara / Çankaya / Ata Mah.,3+1,140,18.0,2.,https://www.hepsiemlak.com/en/ankara-cankaya-ata-kiralik/daire/7705-5277,3,214.28571428571428
